method,layout_index,in_sample,gap_bin,gap_percent,n_candidates,solver,tolerance,finite,success,visited_count,worst_distance,path_length,elapsed_seconds,nfev,error,target_1_distance,target_2_distance,target_3_distance,target_4_distance
analytic_single,12,False,1–<5%,4.209202621199474,3,rk4_1000,0.02,True,True,4,0.00042312425321588943,1.1508982095440234,0.023783406999427825,4000,,0.00016745837813116673,8.222952524296101e-05,0.00042312425321588943,0.00014108648703961012
analytic_single,12,False,1–<5%,4.209202621199474,3,rk4_1000,0.05,True,True,4,0.00042312425321588943,1.1508982095440234,0.023783406999427825,4000,,0.00016745837813116673,8.222952524296101e-05,0.00042312425321588943,0.00014108648703961012
analytic_single,20,False,1–<5%,1.2884363003385566,3,rk4_1000,0.02,True,True,4,0.0003483783420470026,1.7094121999290588,0.023783406999427825,4000,,0.0002061324985061746,0.00016657178032935873,0.0003483783420470026,0.00019925555329428226
analytic_single,20,False,1–<5%,1.2884363003385566,3,rk4_1000,0.05,True,True,4,0.0003483783420470026,1.7094121999290588,0.023783406999427825,4000,,0.0002061324985061746,0.00016657178032935873,0.0003483783420470026,0.00019925555329428226
analytic_single,281,True,1–<5%,4.577241545305448,2,rk4_1000,0.02,True,True,4,0.0005854524032953797,1.2251840449930373,0.023783406999427825,4000,,0.0005854524032953797,1.192437336705954e-05,0.000132438408715063,7.350476223244134e-05
analytic_single,281,True,1–<5%,4.577241545305448,2,rk4_1000,0.05,True,True,4,0.0005854524032953797,1.2251840449930373,0.023783406999427825,4000,,0.0005854524032953797,1.192437336705954e-05,0.000132438408715063,7.350476223244134e-05
analytic_single,954,True,<1%,0.27071468631225715,2,rk4_1000,0.02,True,True,4,0.0003212618905568832,1.6246920153638582,0.023783406999427825,4000,,0.00011550494716319604,0.0002547883386419719,0.00018922415193021273,0.0003212618905568832
analytic_single,954,True,<1%,0.27071468631225715,2,rk4_1000,0.05,True,True,4,0.0003212618905568832,1.6246920153638582,0.023783406999427825,4000,,0.00011550494716319604,0.0002547883386419719,0.00018922415193021273,0.0003212618905568832
analytic_single,12,False,1–<5%,4.209202621199474,3,rk4_2000,0.02,True,True,4,0.0002672719969379893,1.1511794528708479,0.045877996249146236,8000,,7.614362051481358e-05,0.00011007383489199613,0.0001565238987833846,0.0002672719969379893
analytic_single,12,False,1–<5%,4.209202621199474,3,rk4_2000,0.05,True,True,4,0.0002672719969379893,1.1511794528708479,0.045877996249146236,8000,,7.614362051481358e-05,0.00011007383489199613,0.0001565238987833846,0.0002672719969379893
analytic_single,20,False,1–<5%,1.2884363003385566,3,rk4_2000,0.02,True,True,4,0.00029043579044396356,1.7099894610213278,0.045877996249146236,8000,,0.00029043579044396356,4.9521936784707913e-05,0.00012316181411902853,6.845949572298904e-05
analytic_single,20,False,1–<5%,1.2884363003385566,3,rk4_2000,0.05,True,True,4,0.00029043579044396356,1.7099894610213278,0.045877996249146236,8000,,0.00029043579044396356,4.9521936784707913e-05,0.00012316181411902853,6.845949572298904e-05
analytic_single,281,True,1–<5%,4.577241545305448,2,rk4_2000,0.02,True,True,4,0.00014933081908266143,1.2256213262188256,0.045877996249146236,8000,,0.00014933081908266143,6.083533973928679e-06,2.8232214330812396e-05,3.598508641377445e-05
analytic_single,281,True,1–<5%,4.577241545305448,2,rk4_2000,0.05,True,True,4,0.00014933081908266143,1.2256213262188256,0.045877996249146236,8000,,0.00014933081908266143,6.083533973928679e-06,2.8232214330812396e-05,3.598508641377445e-05
analytic_single,954,True,<1%,0.27071468631225715,2,rk4_2000,0.02,True,True,4,0.00011549665731429585,1.6248846700173794,0.045877996249146236,8000,,0.00011549665731429585,9.603298026055643e-05,7.674650629759486e-05,5.7330711696448135e-05
analytic_single,954,True,<1%,0.27071468631225715,2,rk4_2000,0.05,True,True,4,0.00011549665731429585,1.6248846700173794,0.045877996249146236,8000,,0.00011549665731429585,9.603298026055643e-05,7.674650629759486e-05,5.7330711696448135e-05
analytic_single,12,False,1–<5%,4.209202621199474,3,rk4_4000,0.02,True,True,4,6.956360611526624e-05,1.151378631938497,0.09164272174984944,16000,,4.937991443356767e-05,6.091953952189613e-06,3.645826853431438e-05,6.956360611526624e-05
analytic_single,12,False,1–<5%,4.209202621199474,3,rk4_4000,0.05,True,True,4,6.956360611526624e-05,1.151378631938497,0.09164272174984944,16000,,4.937991443356767e-05,6.091953952189613e-06,3.645826853431438e-05,6.956360611526624e-05
analytic_single,20,False,1–<5%,1.2884363003385566,3,rk4_4000,0.02,True,True,4,6.312044900209194e-05,1.7100566011666842,0.09164272174984944,16000,,2.8017183685562355e-05,6.312044900209194e-05,3.817969739109958e-05,1.5298674661452327e-05
analytic_single,20,False,1–<5%,1.2884363003385566,3,rk4_4000,0.05,True,True,4,6.312044900209194e-05,1.7100566011666842,0.09164272174984944,16000,,2.8017183685562355e-05,6.312044900209194e-05,3.817969739109958e-05,1.5298674661452327e-05
analytic_single,281,True,1–<5%,4.577241545305448,2,rk4_4000,0.02,True,True,4,6.02709984394178e-05,1.2257474413832679,0.09164272174984944,16000,,6.02709984394178e-05,3.163090531227876e-06,1.1232079756807304e-05,1.722524850449442e-05
analytic_single,281,True,1–<5%,4.577241545305448,2,rk4_4000,0.05,True,True,4,6.02709984394178e-05,1.2257474413832679,0.09164272174984944,16000,,6.02709984394178e-05,3.163090531227876e-06,1.1232079756807304e-05,1.722524850449442e-05
analytic_single,954,True,<1%,0.27071468631225715,2,rk4_4000,0.02,True,True,4,0.00011549250399931246,1.6248417924136604,0.09164272174984944,16000,,0.00011549250399931246,8.294050925228275e-05,1.781114427050695e-05,2.7200335626029814e-05
analytic_single,954,True,<1%,0.27071468631225715,2,rk4_4000,0.05,True,True,4,0.00011549250399931246,1.6248417924136604,0.09164272174984944,16000,,0.00011549250399931246,8.294050925228275e-05,1.781114427050695e-05,2.7200335626029814e-05
analytic_single,12,False,1–<5%,4.209202621199474,3,rk4_8000,0.02,True,True,4,5.528576031003055e-05,1.151459402960439,0.1794669367500319,32000,,1.3615552038420562e-05,1.1075576486913873e-05,5.528576031003055e-05,2.640367614473213e-05
analytic_single,12,False,1–<5%,4.209202621199474,3,rk4_8000,0.05,True,True,4,5.528576031003055e-05,1.151459402960439,0.1794669367500319,32000,,1.3615552038420562e-05,1.1075576486913873e-05,5.528576031003055e-05,2.640367614473213e-05
analytic_single,20,False,1–<5%,1.2884363003385566,3,rk4_8000,0.02,True,True,4,8.441405094555535e-05,1.710055054971372,0.1794669367500319,32000,,4.003716481135244e-05,6.280234797010995e-06,8.441405094555535e-05,1.5298012799832908e-05
analytic_single,20,False,1–<5%,1.2884363003385566,3,rk4_8000,0.05,True,True,4,8.441405094555535e-05,1.710055054971372,0.1794669367500319,32000,,4.003716481135244e-05,6.280234797010995e-06,8.441405094555535e-05,1.5298012799832908e-05
analytic_single,281,True,1–<5%,4.577241545305448,2,rk4_8000,0.02,True,True,4,2.70711037256445e-05,1.2258016676713717,0.1794669367500319,32000,,2.70711037256445e-05,8.873014348095008e-06,1.1911468663608984e-06,7.845329542345769e-06
analytic_single,281,True,1–<5%,4.577241545305448,2,rk4_8000,0.05,True,True,4,2.70711037256445e-05,1.2258016676713717,0.1794669367500319,32000,,2.70711037256445e-05,8.873014348095008e-06,1.1911468663608984e-06,7.845329542345769e-06
analytic_single,954,True,<1%,0.27071468631225715,2,rk4_8000,0.02,True,True,4,2.7577943127745335e-05,1.6249928250475392,0.1794669367500319,32000,,2.3102296435518483e-05,2.7577943127745335e-05,1.8750037525851796e-05,2.450698826896052e-05
analytic_single,954,True,<1%,0.27071468631225715,2,rk4_8000,0.05,True,True,4,2.7577943127745335e-05,1.6249928250475392,0.1794669367500319,32000,,2.3102296435518483e-05,2.7577943127745335e-05,1.8750037525851796e-05,2.450698826896052e-05
