method,solver,tolerance,gap_bin,n_layouts,success_percent,mean_visited,mean_worst_distance,nonfinite_layouts
analytic_multi,rk4_1000,0.02,<1%,25,0.0,2.24,0.14249744584997923,0
analytic_multi,rk4_1000,0.02,1–<5%,25,4.0,2.44,0.16459930288685484,0
analytic_multi,rk4_1000,0.02,5–<10%,25,100.0,4.0,0.0003490138378364644,0
analytic_multi,rk4_1000,0.02,≥10%,25,100.0,4.0,0.0002678447688337852,0
analytic_multi,rk4_1000,0.05,ALL_selected,100,54.0,3.39,0.07692840183587607,0
analytic_multi,rk4_1000,0.05,<1%,25,8.0,2.76,0.14249744584997923,0
analytic_multi,rk4_1000,0.05,1–<5%,25,8.0,2.8,0.16459930288685484,0
analytic_multi,rk4_1000,0.05,5–<10%,25,100.0,4.0,0.0003490138378364644,0
analytic_multi,rk4_1000,0.05,≥10%,25,100.0,4.0,0.0002678447688337852,0
analytic_multi,rk4_2000,0.02,ALL_selected,100,51.0,3.17,0.07771419275342685,0
analytic_multi,rk4_2000,0.02,<1%,25,0.0,2.24,0.14279942451722702,0
analytic_multi,rk4_2000,0.02,1–<5%,25,4.0,2.44,0.16769404248228573,0
analytic_multi,rk4_2000,0.02,5–<10%,25,100.0,4.0,0.00019849824984996566,0
analytic_multi,rk4_2000,0.02,≥10%,25,100.0,4.0,0.00016480576434467893,0
analytic_multi,rk4_2000,0.05,ALL_selected,100,54.0,3.43,0.07771419275342685,0
analytic_multi,rk4_2000,0.05,<1%,25,8.0,2.84,0.14279942451722702,0
analytic_multi,rk4_2000,0.05,1–<5%,25,8.0,2.88,0.16769404248228573,0
analytic_multi,rk4_2000,0.05,5–<10%,25,100.0,4.0,0.00019849824984996566,0
analytic_multi,rk4_2000,0.05,≥10%,25,100.0,4.0,0.00016480576434467893,0
analytic_multi,rk4_4000,0.02,ALL_selected,100,51.0,3.17,0.0774746604654893,0
analytic_multi,rk4_4000,0.02,<1%,25,0.0,2.28,0.14579999123406215,0
analytic_multi,rk4_4000,0.02,1–<5%,25,4.0,2.4,0.16393102327365475,0
analytic_multi,rk4_4000,0.02,5–<10%,25,100.0,4.0,9.315858622396228e-05,0
analytic_multi,rk4_4000,0.02,≥10%,25,100.0,4.0,7.446876801633439e-05,0
analytic_multi,rk4_4000,0.05,ALL_selected,100,54.0,3.38,0.0774746604654893,0
analytic_multi,rk4_4000,0.05,<1%,25,8.0,2.76,0.14579999123406215,0
analytic_multi,rk4_4000,0.05,1–<5%,25,8.0,2.76,0.16393102327365475,0
analytic_multi,rk4_4000,0.05,5–<10%,25,100.0,4.0,9.315858622396228e-05,0
analytic_multi,rk4_4000,0.05,≥10%,25,100.0,4.0,7.446876801633439e-05,0
analytic_multi,rk4_8000,0.02,ALL_selected,100,51.0,3.16,0.07754583155429629,0
analytic_multi,rk4_8000,0.02,<1%,25,0.0,2.28,0.14570484916726595,0
analytic_multi,rk4_8000,0.02,1–<5%,25,4.0,2.36,0.16440306755905396,0
analytic_multi,rk4_8000,0.02,5–<10%,25,100.0,4.0,4.3304542654709475e-05,0
analytic_multi,rk4_8000,0.02,≥10%,25,100.0,4.0,3.210494821058402e-05,0
analytic_multi,rk4_8000,0.05,ALL_selected,100,54.0,3.37,0.07754583155429629,0
analytic_multi,rk4_8000,0.05,<1%,25,8.0,2.76,0.14570484916726595,0
analytic_multi,rk4_8000,0.05,1–<5%,25,8.0,2.72,0.16440306755905396,0
