method,layout_index,in_sample,gap_bin,gap_percent,n_candidates,tolerance,classification,numerically_agreed,dop_agreed,rk4_agreed,single_control_ok,single_exact_max_error,dop_position_delta,dop_distance_delta,metric_grid_distance_delta,rk4_last_position_delta,rk4_last_distance_delta,rk4_vs_dop_position_delta,rk4_vs_dop_distance_delta,dop_tight_success,dop_tight_worst_distance,rk4_coarsest_steps,rk4_highest_steps,rk4_coarsest_worst_distance,rk4_high_worst_distance,error
analytic_single,12,False,1–<5%,4.209202621199474,3,0.02,PASS_STABLE,True,True,True,True,1.336885555457667e-15,0.0,0.0,0.0,6.77516272781153e-05,4.3159929970534104e-05,5.495622201409314e-05,5.528576030916344e-05,True,1.2658490090568385e-15,1000,8000,0.00042312425321588943,5.528576031003055e-05,
analytic_single,12,False,1–<5%,4.209202621199474,3,0.05,PASS_STABLE,True,True,True,True,1.336885555457667e-15,0.0,0.0,0.0,6.77516272781153e-05,4.3159929970534104e-05,5.495622201409314e-05,5.528576030916344e-05,True,1.2658490090568385e-15,1000,8000,0.00042312425321588943,5.528576031003055e-05,
analytic_single,20,False,1–<5%,1.2884363003385566,3,0.02,PASS_STABLE,True,True,True,True,1.807312143953211e-15,0.0,0.0,0.0,0.00017677625482294802,5.6840214205080944e-05,7.196392685520127e-05,8.441405094466026e-05,True,1.0934428697813141e-15,1000,8000,0.0003483783420470026,8.441405094555535e-05,
analytic_single,20,False,1–<5%,1.2884363003385566,3,0.05,PASS_STABLE,True,True,True,True,1.807312143953211e-15,0.0,0.0,0.0,0.00017677625482294802,5.6840214205080944e-05,7.196392685520127e-05,8.441405094466026e-05,True,1.0934428697813141e-15,1000,8000,0.0003483783420470026,8.441405094555535e-05,
analytic_single,281,True,1–<5%,4.577241545305448,2,0.02,PASS_STABLE,True,True,True,True,9.485749680535094e-16,0.0,0.0,0.0,4.080851591221381e-05,3.3199894713773296e-05,4.31292391776355e-06,2.7071103725311433e-05,True,6.473657049138938e-16,1000,8000,0.0005854524032953797,2.70711037256445e-05,
analytic_single,281,True,1–<5%,4.577241545305448,2,0.05,PASS_STABLE,True,True,True,True,9.485749680535094e-16,0.0,0.0,0.0,4.080851591221381e-05,3.3199894713773296e-05,4.31292391776355e-06,2.7071103725311433e-05,True,6.473657049138938e-16,1000,8000,0.0005854524032953797,2.70711037256445e-05,
analytic_single,954,True,<1%,0.27071468631225715,2,0.02,PASS_STABLE,True,True,True,True,2.0380985511143445e-15,0.0,0.0,0.0,0.00013959042072104693,9.239020756379398e-05,6.884855833321201e-05,2.757794312650407e-05,True,1.2412670766236366e-15,1000,8000,0.0003212618905568832,2.7577943127745335e-05,
analytic_single,954,True,<1%,0.27071468631225715,2,0.05,PASS_STABLE,True,True,True,True,2.0380985511143445e-15,0.0,0.0,0.0,0.00013959042072104693,9.239020756379398e-05,6.884855833321201e-05,2.757794312650407e-05,True,1.2412670766236366e-15,1000,8000,0.0003212618905568832,2.7577943127745335e-05,
analytic_multi,12,False,1–<5%,4.209202621199474,3,0.02,FAIL_STABLE,True,True,True,True,,1.0481976373902263e-08,1.0725903776265255e-09,1.3366502843448202e-07,0.00012920029033103937,5.174098402196958e-05,2.3729353762954886e-05,1.802591554090835e-05,False,0.17924770779690147,1000,8000,0.17910929310049614,0.17924783386929655,
analytic_multi,12,False,1–<5%,4.209202621199474,3,0.05,FAIL_STABLE,True,True,True,True,,1.0481976373902263e-08,1.0725903776265255e-09,1.3366502843448202e-07,0.00012920029033103937,5.174098402196958e-05,2.3729353762954886e-05,1.802591554090835e-05,False,0.17924770779690147,1000,8000,0.17910929310049614,0.17924783386929655,
analytic_multi,20,False,1–<5%,1.2884363003385566,3,0.02,FAIL_STABLE,True,True,True,True,,1.0255279595623932e-07,3.972504831160906e-09,3.1518165410915344e-08,0.00010733878861026413,5.020558100799779e-05,5.335724441358554e-05,2.6242304109356292e-05,False,0.4049127014617105,1000,8000,0.4048300047624456,0.40491199517370735,
analytic_multi,20,False,1–<5%,1.2884363003385566,3,0.05,FAIL_STABLE,True,True,True,True,,1.0255279595623932e-07,3.972504831160906e-09,3.1518165410915344e-08,0.00010733878861026413,5.020558100799779e-05,5.335724441358554e-05,2.6242304109356292e-05,False,0.4049127014617105,1000,8000,0.4048300047624456,0.40491199517370735,
analytic_multi,281,True,1–<5%,4.577241545305448,2,0.02,UNRESOLVED,False,True,False,True,,3.8365193347663606e-08,2.4981559279546595e-08,1.1639659514006695e-09,0.002865192178752045,0.0019633141267643567,0.07498784694512724,0.05963405470625682,False,0.11502745890811425,1000,8000,0.0454007725706074,0.05539340420185743,
analytic_multi,281,True,1–<5%,4.577241545305448,2,0.05,UNRESOLVED,False,True,False,True,,3.8365193347663606e-08,2.4981559279546595e-08,1.1639659514006695e-09,0.002865192178752045,0.0019633141267643567,0.07498784694512724,0.05963405470625682,False,0.11502745890811425,1000,8000,0.0454007725706074,0.05539340420185743,
analytic_multi,954,True,<1%,0.27071468631225715,2,0.02,UNRESOLVED,False,False,False,True,,0.6683605427451792,0.34513862732789635,1.8695136172475202e-07,0.6691127554710372,0.35037182902852193,0.6686299049666974,0.34988885173977863,False,0.37623820037279665,1000,8000,0.3767497042400534,0.38161100055905,
analytic_multi,954,True,<1%,0.27071468631225715,2,0.05,UNRESOLVED,False,False,False,True,,0.6683605427451792,0.34513862732789635,1.8695136172475202e-07,0.6691127554710372,0.35037182902852193,0.6686299049666974,0.34988885173977863,False,0.37623820037279665,1000,8000,0.3767497042400534,0.38161100055905,
analytic_single,3,True,≥10%,14.195852215374183,1,0.02,PASS_STABLE,True,True,True,True,6.753223014464259e-16,0.0,0.0,0.0,4.168020243955731e-05,3.385851560973104e-05,2.37450019566832e-05,2.473748299774341e-05,True,4.002966042486721e-16,1000,8000,0.0003021692127202567,2.473748299790042e-05,
analytic_single,3,True,≥10%,14.195852215374183,1,0.05,PASS_STABLE,True,True,True,True,6.753223014464259e-16,0.0,0.0,0.0,4.168020243955731e-05,3.385851560973104e-05,2.37450019566832e-05,2.473748299774341e-05,True,4.002966042486721e-16,1000,8000,0.0003021692127202567,2.473748299790042e-05,
analytic_single,8,True,5–<10%,5.331474708526156,1,0.02,PASS_STABLE,True,True,True,True,1.897149936107019e-15,0.0,0.0,0.0,5.126305300705164e-05,4.423376439323131e-05,4.019569322232914e-05,4.85607591565733e-05,True,1.7554167342883505e-15,1000,8000,0.0003654662154155772,4.8560759156821556e-05,
analytic_single,8,True,5–<10%,5.331474708526156,1,0.05,PASS_STABLE,True,True,True,True,1.897149936107019e-15,0.0,0.0,0.0,5.126305300705164e-05,4.423376439323131e-05,4.019569322232914e-05,4.85607591565733e-05,True,1.7554167342883505e-15,1000,8000,0.0003654662154155772,4.8560759156821556e-05,
analytic_single,15,True,≥10%,14.562346224132924,1,0.02,PASS_STABLE,True,True,True,True,1.8209011484034673e-15,0.0,0.0,0.0,9.251396602225214e-05,7.786328558769502e-05,1.7790958021751787e-05,3.8194530964738554e-05,True,1.6653345369377348e-15,1000,8000,0.0003597076309833829,3.819453096502833e-05,
