group,n_layouts,mean_gap_percent,median_gap_percent,q25_gap_percent,q75_gap_percent
Success,650,9.396745865565537,8.309831808827422,4.7971144734435205,13.065351932770298
Failure,350,3.8708889323268716,2.367328890227176,0.8307670660053057,4.944288590562734
