method,layout_index,gap_bin,initial_sigma,tolerance,first_visit_order,count
learned_single,236,≥10%,0.0,0.02,2→4→1→3,1
learned_single,236,≥10%,0.0,0.05,2→4→1→3,1
learned_single,236,≥10%,0.01,0.05,2→4→1→3,20
learned_single,236,≥10%,0.01,0.02,2→4→1→3,13
learned_single,236,≥10%,0.05,0.05,2→4→1→3,18
learned_single,236,≥10%,0.05,0.02,2→4→1→3,4
learned_single,246,≥10%,0.0,0.02,3→2→1→4,1
learned_single,246,≥10%,0.0,0.05,3→2→1→4,1
learned_single,246,≥10%,0.01,0.02,3→2→1→4,20
learned_single,246,≥10%,0.01,0.05,3→2→1→4,20
learned_single,246,≥10%,0.05,0.05,3→2→1→4,19
learned_single,246,≥10%,0.05,0.02,3→2→1→4,12
learned_single,248,≥10%,0.0,0.02,3→1→2→4,1
learned_single,248,≥10%,0.0,0.05,3→1→2→4,1
learned_single,248,≥10%,0.01,0.02,3→1→2→4,20
learned_single,248,≥10%,0.01,0.05,3→1→2→4,20
learned_single,248,≥10%,0.05,0.05,3→1→2→4,20
learned_single,248,≥10%,0.05,0.02,3→1→2→4,6
learned_single,250,≥10%,0.0,0.02,1→3→2→4,1
learned_single,250,≥10%,0.0,0.05,1→3→2→4,1
learned_single,250,≥10%,0.01,0.02,1→3→2→4,20
learned_single,250,≥10%,0.01,0.05,1→3→2→4,20
learned_single,250,≥10%,0.05,0.02,1→3→2→4,10
learned_single,250,≥10%,0.05,0.05,1→3→2→4,19
learned_single,281,1–<5%,0.0,0.02,4→2→1→3,1
learned_single,281,1–<5%,0.0,0.05,4→2→1→3,1
learned_single,281,1–<5%,0.01,0.02,4→2→1→3,20
learned_single,281,1–<5%,0.01,0.05,4→2→1→3,20
learned_single,281,1–<5%,0.05,0.02,4→2→1→3,9
learned_single,281,1–<5%,0.05,0.05,4→2→1→3,19
learned_single,312,1–<5%,0.0,0.05,1→4→3→2,1
learned_single,312,1–<5%,0.01,0.05,1→4→3→2,20
learned_single,312,1–<5%,0.05,0.05,1→4→3→2,16
learned_single,322,≥10%,0.0,0.02,4→3→1→2,1
learned_single,322,≥10%,0.0,0.05,4→3→1→2,1
learned_single,322,≥10%,0.01,0.02,4→3→1→2,17
learned_single,322,≥10%,0.01,0.05,4→3→1→2,20
learned_single,322,≥10%,0.05,0.05,4→3→1→2,18
learned_single,322,≥10%,0.05,0.02,4→3→1→2,3
learned_single,329,1–<5%,0.0,0.02,2→3→1→4,1
learned_single,329,1–<5%,0.0,0.05,2→3→1→4,1
learned_single,329,1–<5%,0.01,0.02,2→3→1→4,18
learned_single,329,1–<5%,0.01,0.05,2→3→1→4,20
learned_single,329,1–<5%,0.05,0.05,2→3→1→4,17
learned_single,329,1–<5%,0.05,0.02,2→3→1→4,4
learned_single,353,5–<10%,0.0,0.02,3→1→4→2,1
learned_single,353,5–<10%,0.0,0.05,3→1→4→2,1
learned_single,353,5–<10%,0.01,0.02,3→1→4→2,20
learned_single,353,5–<10%,0.01,0.05,3→1→4→2,20
learned_single,353,5–<10%,0.05,0.02,3→1→4→2,15
learned_single,353,5–<10%,0.05,0.05,3→1→4→2,20
learned_single,363,<1%,0.0,0.02,4→1→3→2,1
learned_single,363,<1%,0.0,0.05,4→1→3→2,1
learned_single,363,<1%,0.01,0.02,4→1→3→2,20
learned_single,363,<1%,0.01,0.05,4→1→3→2,20
learned_single,363,<1%,0.05,0.02,4→1→3→2,6
learned_single,363,<1%,0.05,0.05,4→1→3→2,16
learned_single,364,5–<10%,0.0,0.02,4→1→3→2,1
learned_single,364,5–<10%,0.0,0.05,4→1→3→2,1
learned_single,364,5–<10%,0.01,0.02,4→1→3→2,20
learned_single,364,5–<10%,0.01,0.05,4→1→3→2,20
learned_single,364,5–<10%,0.05,0.02,4→1→3→2,9
learned_single,364,5–<10%,0.05,0.05,4→1→3→2,19
learned_single,379,<1%,0.05,0.05,4→1→2→3,1
learned_single,391,1–<5%,0.05,0.05,2→1→3→4,4
learned_single,418,1–<5%,0.0,0.05,1→2→4→3,1
learned_single,418,1–<5%,0.01,0.05,1→2→4→3,20
learned_single,418,1–<5%,0.01,0.02,1→2→4→3,1
learned_single,418,1–<5%,0.05,0.05,1→2→4→3,20
learned_single,428,1–<5%,0.0,0.02,4→3→2→1,1
learned_single,428,1–<5%,0.0,0.05,4→3→2→1,1
learned_single,428,1–<5%,0.01,0.02,4→3→2→1,20
learned_single,428,1–<5%,0.01,0.05,4→3→2→1,20
learned_single,428,1–<5%,0.05,0.02,4→3→2→1,14
learned_single,428,1–<5%,0.05,0.05,4→3→2→1,20
learned_single,434,5–<10%,0.0,0.02,1→2→4→3,1
learned_single,434,5–<10%,0.0,0.05,1→2→4→3,1
learned_single,434,5–<10%,0.01,0.02,1→2→4→3,20
learned_single,434,5–<10%,0.01,0.05,1→2→4→3,20
learned_single,434,5–<10%,0.05,0.02,1→2→4→3,8
learned_single,434,5–<10%,0.05,0.05,1→2→4→3,16
learned_single,448,5–<10%,0.0,0.05,1→2→3→4,1
learned_single,448,5–<10%,0.01,0.05,1→2→3→4,16
learned_single,448,5–<10%,0.01,0.02,1→2→3→4,6
learned_single,448,5–<10%,0.05,0.05,1→2→3→4,10
learned_single,450,5–<10%,0.0,0.02,1→4→2→3,1
learned_single,450,5–<10%,0.0,0.05,1→4→2→3,1
learned_single,450,5–<10%,0.01,0.02,1→4→2→3,20
learned_single,450,5–<10%,0.01,0.05,1→4→2→3,20
learned_single,450,5–<10%,0.05,0.02,1→4→2→3,8
learned_single,450,5–<10%,0.05,0.05,1→4→2→3,18
