method,layout_index,gap_bin,initial_sigma,tolerance,first_visit_order,count
learned_single,982,1–<5%,0.01,0.05,3→1→4→2,1
learned_single,982,1–<5%,0.05,0.05,3→1→4→2,9
learned_single,982,1–<5%,0.05,0.02,3→1→4→2,1
learned_multi,3,≥10%,0.0,0.02,2→1→4→3,1
learned_multi,3,≥10%,0.0,0.05,2→1→4→3,1
learned_multi,3,≥10%,0.01,0.02,2→1→4→3,19
learned_multi,3,≥10%,0.01,0.05,2→1→4→3,20
learned_multi,3,≥10%,0.05,0.02,2→1→4→3,8
learned_multi,3,≥10%,0.05,0.05,2→1→4→3,19
learned_multi,8,5–<10%,0.0,0.02,4→2→3→1,1
learned_multi,8,5–<10%,0.0,0.05,4→2→3→1,1
learned_multi,8,5–<10%,0.01,0.02,4→2→3→1,11
learned_multi,8,5–<10%,0.01,0.05,4→2→3→1,16
learned_multi,8,5–<10%,0.05,0.05,4→2→3→1,4
learned_multi,8,5–<10%,0.05,0.02,4→2→3→1,2
learned_multi,15,≥10%,0.0,0.02,1→3→4→2,1
learned_multi,15,≥10%,0.0,0.05,1→3→4→2,1
learned_multi,15,≥10%,0.01,0.02,1→3→4→2,20
learned_multi,15,≥10%,0.01,0.05,1→3→4→2,20
learned_multi,15,≥10%,0.05,0.02,1→3→4→2,6
learned_multi,15,≥10%,0.05,0.05,1→3→4→2,17
learned_multi,28,≥10%,0.0,0.02,4→3→2→1,1
learned_multi,28,≥10%,0.0,0.05,4→3→2→1,1
learned_multi,28,≥10%,0.01,0.02,4→3→2→1,17
learned_multi,28,≥10%,0.01,0.05,4→3→2→1,20
learned_multi,28,≥10%,0.05,0.05,4→3→2→1,12
learned_multi,28,≥10%,0.05,0.02,4→3→2→1,2
learned_multi,40,5–<10%,0.0,0.02,4→2→3→1,1
learned_multi,40,5–<10%,0.0,0.05,4→2→3→1,1
learned_multi,40,5–<10%,0.01,0.02,4→2→3→1,18
learned_multi,40,5–<10%,0.01,0.05,4→2→3→1,20
learned_multi,40,5–<10%,0.05,0.02,4→2→3→1,5
learned_multi,40,5–<10%,0.05,0.05,4→2→3→1,12
learned_multi,43,<1%,0.01,0.05,1→2→4→3,2
learned_multi,45,≥10%,0.0,0.02,4→2→1→3,1
learned_multi,45,≥10%,0.0,0.05,4→2→1→3,1
learned_multi,45,≥10%,0.01,0.02,4→2→1→3,20
learned_multi,45,≥10%,0.01,0.05,4→2→1→3,20
learned_multi,45,≥10%,0.05,0.05,4→2→1→3,16
learned_multi,45,≥10%,0.05,0.02,4→2→1→3,5
learned_multi,47,5–<10%,0.0,0.02,4→2→3→1,1
learned_multi,47,5–<10%,0.0,0.05,4→2→3→1,1
learned_multi,47,5–<10%,0.01,0.02,4→2→3→1,20
learned_multi,47,5–<10%,0.01,0.05,4→2→3→1,20
learned_multi,47,5–<10%,0.05,0.02,4→2→3→1,6
learned_multi,47,5–<10%,0.05,0.05,4→2→3→1,18
learned_multi,80,≥10%,0.0,0.02,3→4→2→1,1
learned_multi,80,≥10%,0.0,0.05,3→4→2→1,1
learned_multi,80,≥10%,0.01,0.02,3→4→2→1,20
learned_multi,80,≥10%,0.01,0.05,3→4→2→1,20
learned_multi,80,≥10%,0.05,0.05,3→4→2→1,20
learned_multi,80,≥10%,0.05,0.02,3→4→2→1,8
learned_multi,83,≥10%,0.0,0.02,4→3→1→2,1
learned_multi,83,≥10%,0.0,0.05,4→3→1→2,1
learned_multi,83,≥10%,0.01,0.02,4→3→1→2,20
learned_multi,83,≥10%,0.01,0.05,4→3→1→2,20
learned_multi,83,≥10%,0.05,0.05,4→3→1→2,19
learned_multi,83,≥10%,0.05,0.02,4→3→1→2,10
learned_multi,86,≥10%,0.0,0.02,2→3→4→1,1
learned_multi,86,≥10%,0.0,0.05,2→3→4→1,1
learned_multi,86,≥10%,0.01,0.02,2→3→4→1,18
learned_multi,86,≥10%,0.01,0.05,2→3→4→1,20
learned_multi,86,≥10%,0.05,0.05,2→3→4→1,17
learned_multi,86,≥10%,0.05,0.02,2→3→4→1,6
learned_multi,101,<1%,0.0,0.02,2→1→3→4,1
learned_multi,101,<1%,0.0,0.05,2→1→3→4,1
learned_multi,101,<1%,0.01,0.05,2→1→3→4,16
learned_multi,101,<1%,0.01,0.02,2→1→3→4,12
learned_multi,101,<1%,0.01,0.02,1→3→4→2,1
learned_multi,101,<1%,0.01,0.05,1→3→4→2,2
learned_multi,101,<1%,0.05,0.02,1→3→4→2,1
learned_multi,101,<1%,0.05,0.05,1→3→4→2,1
learned_multi,101,<1%,0.05,0.05,2→1→3→4,6
learned_multi,101,<1%,0.05,0.02,2→1→3→4,3
learned_multi,117,<1%,0.0,0.05,4→1→2→3,1
learned_multi,117,<1%,0.01,0.05,2→3→1→4,2
learned_multi,117,<1%,0.01,0.02,4→1→2→3,3
learned_multi,117,<1%,0.01,0.05,4→1→2→3,15
learned_multi,117,<1%,0.05,0.02,4→1→2→3,9
learned_multi,117,<1%,0.05,0.05,4→1→2→3,13
learned_multi,117,<1%,0.05,0.05,2→3→1→4,1
learned_multi,140,1–<5%,0.0,0.02,3→2→1→4,1
learned_multi,140,1–<5%,0.0,0.05,3→2→1→4,1
learned_multi,140,1–<5%,0.01,0.02,3→2→1→4,20
learned_multi,140,1–<5%,0.01,0.05,3→2→1→4,20
learned_multi,140,1–<5%,0.05,0.02,3→2→1→4,9
learned_multi,140,1–<5%,0.05,0.05,3→2→1→4,17
learned_multi,154,≥10%,0.0,0.02,3→1→4→2,1
learned_multi,154,≥10%,0.0,0.05,3→1→4→2,1
learned_multi,154,≥10%,0.01,0.02,3→1→4→2,19
learned_multi,154,≥10%,0.01,0.05,3→1→4→2,20
learned_multi,154,≥10%,0.05,0.05,3→1→4→2,16
learned_multi,154,≥10%,0.05,0.02,3→1→4→2,2
learned_multi,165,1–<5%,0.01,0.05,3→4→1→2,1
learned_multi,165,1–<5%,0.05,0.05,3→4→1→2,5
learned_multi,174,<1%,0.01,0.05,2→1→4→3,3
learned_multi,185,<1%,0.01,0.05,3→2→4→1,4
learned_multi,186,1–<5%,0.01,0.02,2→4→1→3,5
learned_multi,186,1–<5%,0.01,0.05,2→4→1→3,9
learned_multi,186,1–<5%,0.05,0.05,2→4→1→3,6
learned_multi,236,≥10%,0.0,0.02,2→4→1→3,1
learned_multi,236,≥10%,0.0,0.05,2→4→1→3,1
learned_multi,236,≥10%,0.01,0.02,2→4→1→3,18
learned_multi,236,≥10%,0.01,0.05,2→4→1→3,20
learned_multi,236,≥10%,0.05,0.05,2→4→1→3,15
learned_multi,236,≥10%,0.05,0.02,2→4→1→3,4
learned_multi,246,≥10%,0.0,0.02,3→2→1→4,1
learned_multi,246,≥10%,0.0,0.05,3→2→1→4,1
learned_multi,246,≥10%,0.01,0.02,3→2→1→4,20
learned_multi,246,≥10%,0.01,0.05,3→2→1→4,20
learned_multi,246,≥10%,0.05,0.05,3→2→1→4,19
learned_multi,246,≥10%,0.05,0.02,3→2→1→4,9
learned_multi,248,≥10%,0.0,0.02,3→1→2→4,1
learned_multi,248,≥10%,0.0,0.05,3→1→2→4,1
learned_multi,248,≥10%,0.01,0.02,3→1→2→4,20
learned_multi,248,≥10%,0.01,0.05,3→1→2→4,20
learned_multi,248,≥10%,0.05,0.02,3→1→2→4,7
learned_multi,248,≥10%,0.05,0.05,3→1→2→4,17
learned_multi,250,≥10%,0.0,0.02,1→3→2→4,1
learned_multi,250,≥10%,0.0,0.05,1→3→2→4,1
learned_multi,250,≥10%,0.01,0.02,1→3→2→4,20
learned_multi,250,≥10%,0.01,0.05,1→3→2→4,20
learned_multi,250,≥10%,0.05,0.05,1→3→2→4,17
learned_multi,250,≥10%,0.05,0.02,1→3→2→4,8
learned_multi,281,1–<5%,0.0,0.05,4→2→1→3,1
learned_multi,281,1–<5%,0.01,0.05,4→2→1→3,20
learned_multi,281,1–<5%,0.05,0.05,4→2→1→3,15
learned_multi,281,1–<5%,0.05,0.02,4→2→1→3,1
learned_multi,312,1–<5%,0.0,0.05,1→4→3→2,1
learned_multi,312,1–<5%,0.01,0.05,1→4→3→2,18
learned_multi,312,1–<5%,0.01,0.02,1→4→3→2,1
learned_multi,312,1–<5%,0.05,0.05,1→4→3→2,3
learned_multi,322,≥10%,0.0,0.02,4→3→1→2,1
learned_multi,322,≥10%,0.0,0.05,4→3→1→2,1
learned_multi,322,≥10%,0.01,0.02,4→3→1→2,20
learned_multi,322,≥10%,0.01,0.05,4→3→1→2,20
learned_multi,322,≥10%,0.05,0.05,4→3→1→2,16
learned_multi,322,≥10%,0.05,0.02,4→3→1→2,4
learned_multi,329,1–<5%,0.0,0.02,2→3→1→4,1
learned_multi,329,1–<5%,0.0,0.05,2→3→1→4,1
learned_multi,329,1–<5%,0.01,0.05,2→3→1→4,20
learned_multi,329,1–<5%,0.01,0.02,2→3→1→4,12
learned_multi,329,1–<5%,0.05,0.05,2→3→1→4,5
learned_multi,329,1–<5%,0.05,0.02,2→3→1→4,1
learned_multi,353,5–<10%,0.0,0.02,3→1→4→2,1
learned_multi,353,5–<10%,0.0,0.05,3→1→4→2,1
learned_multi,353,5–<10%,0.01,0.02,3→1→4→2,20
learned_multi,353,5–<10%,0.01,0.05,3→1→4→2,20
learned_multi,353,5–<10%,0.05,0.02,3→1→4→2,16
learned_multi,353,5–<10%,0.05,0.05,3→1→4→2,19
learned_multi,363,<1%,0.05,0.05,4→1→3→2,3
learned_multi,364,5–<10%,0.0,0.02,4→1→3→2,1
learned_multi,364,5–<10%,0.0,0.05,4→1→3→2,1
learned_multi,364,5–<10%,0.01,0.02,4→1→3→2,16
learned_multi,364,5–<10%,0.01,0.05,4→1→3→2,20
learned_multi,364,5–<10%,0.05,0.02,4→1→3→2,3
learned_multi,364,5–<10%,0.05,0.05,4→1→3→2,13
learned_multi,366,<1%,0.01,0.05,1→4→2→3,1
learned_multi,366,<1%,0.01,0.05,1→2→3→4,1
learned_multi,366,<1%,0.05,0.05,1→2→3→4,2
learned_multi,366,<1%,0.05,0.05,1→4→2→3,1
learned_multi,391,1–<5%,0.05,0.05,2→3→4→1,5
learned_multi,391,1–<5%,0.05,0.02,2→3→4→1,1
learned_multi,391,1–<5%,0.05,0.05,2→1→3→4,1
learned_multi,418,1–<5%,0.0,0.02,1→2→4→3,1
learned_multi,418,1–<5%,0.0,0.05,1→2→4→3,1
learned_multi,418,1–<5%,0.01,0.02,1→2→4→3,12
learned_multi,418,1–<5%,0.01,0.05,1→2→4→3,20
learned_multi,418,1–<5%,0.05,0.05,1→2→4→3,14
learned_multi,418,1–<5%,0.05,0.02,1→2→4→3,5
learned_multi,428,1–<5%,0.0,0.02,4→3→2→1,1
learned_multi,428,1–<5%,0.0,0.05,4→3→2→1,1
learned_multi,428,1–<5%,0.01,0.02,4→3→2→1,13
learned_multi,428,1–<5%,0.01,0.05,4→3→2→1,19
learned_multi,428,1–<5%,0.05,0.05,4→3→2→1,7
learned_multi,428,1–<5%,0.05,0.02,4→3→2→1,3
learned_multi,434,5–<10%,0.0,0.02,1→2→4→3,1
learned_multi,434,5–<10%,0.0,0.05,1→2→4→3,1
learned_multi,434,5–<10%,0.01,0.02,1→2→4→3,15
learned_multi,434,5–<10%,0.01,0.05,1→2→4→3,20
learned_multi,434,5–<10%,0.05,0.05,1→2→4→3,19
learned_multi,434,5–<10%,0.05,0.02,1→2→4→3,7
learned_multi,437,<1%,0.05,0.05,2→3→1→4,1
learned_multi,448,5–<10%,0.05,0.05,1→2→3→4,5
learned_multi,450,5–<10%,0.0,0.02,1→4→2→3,1
learned_multi,450,5–<10%,0.0,0.05,1→4→2→3,1
learned_multi,450,5–<10%,0.01,0.02,1→4→2→3,20
learned_multi,450,5–<10%,0.01,0.05,1→4→2→3,20
learned_multi,450,5–<10%,0.05,0.05,1→4→2→3,18
learned_multi,450,5–<10%,0.05,0.02,1→4→2→3,7
learned_multi,456,≥10%,0.0,0.02,1→3→4→2,1
learned_multi,456,≥10%,0.0,0.05,1→3→4→2,1
learned_multi,456,≥10%,0.01,0.05,1→3→4→2,20
learned_multi,456,≥10%,0.01,0.02,1→3→4→2,16
learned_multi,456,≥10%,0.05,0.05,1→3→4→2,18
learned_multi,456,≥10%,0.05,0.02,1→3→4→2,3
learned_multi,492,5–<10%,0.05,0.05,4→2→1→3,4
learned_multi,494,1–<5%,0.0,0.02,2→1→4→3,1
learned_multi,494,1–<5%,0.0,0.05,2→1→4→3,1
learned_multi,494,1–<5%,0.01,0.02,2→1→4→3,9
learned_multi,494,1–<5%,0.01,0.05,2→1→4→3,17
learned_multi,494,1–<5%,0.05,0.05,2→1→4→3,9
learned_multi,494,1–<5%,0.05,0.02,2→1→4→3,5
learned_multi,506,5–<10%,0.01,0.05,3→1→2→4,3
learned_multi,506,5–<10%,0.01,0.02,3→1→2→4,1
learned_multi,506,5–<10%,0.05,0.02,3→1→2→4,1
learned_multi,506,5–<10%,0.05,0.05,3→1→2→4,5
learned_multi,531,1–<5%,0.0,0.05,2→3→1→4,1
learned_multi,531,1–<5%,0.01,0.05,2→3→1→4,16
learned_multi,531,1–<5%,0.05,0.05,2→3→1→4,7
learned_multi,532,1–<5%,0.01,0.05,3→2→4→1,4
learned_multi,532,1–<5%,0.05,0.05,3→2→4→1,4
learned_multi,536,5–<10%,0.05,0.05,3→2→1→4,1
learned_multi,547,5–<10%,0.05,0.05,1→3→2→4,5
learned_multi,564,≥10%,0.0,0.02,1→2→4→3,1
learned_multi,564,≥10%,0.0,0.05,1→2→4→3,1
learned_multi,564,≥10%,0.01,0.02,1→2→4→3,20
learned_multi,564,≥10%,0.01,0.05,1→2→4→3,20
learned_multi,564,≥10%,0.05,0.05,1→2→4→3,20
learned_multi,564,≥10%,0.05,0.02,1→2→4→3,10
learned_multi,573,1–<5%,0.0,0.05,4→1→3→2,1
learned_multi,573,1–<5%,0.01,0.05,4→1→3→2,17
learned_multi,573,1–<5%,0.01,0.02,4→1→3→2,6
learned_multi,573,1–<5%,0.05,0.05,4→1→3→2,4
learned_multi,573,1–<5%,0.05,0.02,4→1→3→2,1
learned_multi,575,5–<10%,0.0,0.05,4→2→1→3,1
learned_multi,575,5–<10%,0.01,0.05,4→2→1→3,18
learned_multi,575,5–<10%,0.05,0.02,4→2→1→3,4
learned_multi,575,5–<10%,0.05,0.05,4→2→1→3,8
learned_multi,579,<1%,0.0,0.05,4→3→1→2,1
learned_multi,579,<1%,0.01,0.02,4→3→1→2,7
learned_multi,579,<1%,0.01,0.05,4→3→1→2,9
learned_multi,579,<1%,0.05,0.02,4→3→1→2,3
learned_multi,579,<1%,0.05,0.05,4→3→1→2,7
learned_multi,579,<1%,0.05,0.02,2→4→3→1,1
learned_multi,579,<1%,0.05,0.05,2→4→3→1,4
learned_multi,591,≥10%,0.0,0.02,3→2→4→1,1
learned_multi,591,≥10%,0.0,0.05,3→2→4→1,1
learned_multi,591,≥10%,0.01,0.02,3→2→4→1,20
learned_multi,591,≥10%,0.01,0.05,3→2→4→1,20
learned_multi,591,≥10%,0.05,0.05,3→2→4→1,19
learned_multi,591,≥10%,0.05,0.02,3→2→4→1,6
learned_multi,601,5–<10%,0.0,0.02,1→4→3→2,1
learned_multi,601,5–<10%,0.0,0.05,1→4→3→2,1
learned_multi,601,5–<10%,0.01,0.02,1→4→3→2,19
learned_multi,601,5–<10%,0.01,0.05,1→4→3→2,20
learned_multi,601,5–<10%,0.05,0.05,1→4→3→2,12
learned_multi,601,5–<10%,0.05,0.02,1→4→3→2,3
learned_multi,606,<1%,0.0,0.05,4→3→1→2,1
learned_multi,606,<1%,0.01,0.05,4→3→1→2,20
learned_multi,606,<1%,0.05,0.05,4→3→1→2,12
learned_multi,641,≥10%,0.0,0.02,3→1→4→2,1
learned_multi,641,≥10%,0.0,0.05,3→1→4→2,1
learned_multi,641,≥10%,0.01,0.02,3→1→4→2,20
learned_multi,641,≥10%,0.01,0.05,3→1→4→2,20
learned_multi,641,≥10%,0.05,0.05,3→1→4→2,16
learned_multi,641,≥10%,0.05,0.02,3→1→4→2,6
learned_multi,647,<1%,0.01,0.05,2→3→1→4,3
learned_multi,647,<1%,0.05,0.05,4→2→3→1,1
learned_multi,648,5–<10%,0.0,0.02,3→2→1→4,1
learned_multi,648,5–<10%,0.0,0.05,3→2→1→4,1
learned_multi,648,5–<10%,0.01,0.02,3→2→1→4,20
learned_multi,648,5–<10%,0.01,0.05,3→2→1→4,20
learned_multi,648,5–<10%,0.05,0.02,3→2→1→4,5
learned_multi,648,5–<10%,0.05,0.05,3→2→1→4,16
learned_multi,660,<1%,0.0,0.02,2→1→3→4,1
learned_multi,660,<1%,0.0,0.05,2→1→3→4,1
learned_multi,660,<1%,0.01,0.02,2→1→3→4,12
learned_multi,660,<1%,0.01,0.05,2→1→3→4,18
learned_multi,660,<1%,0.05,0.05,2→1→3→4,7
learned_multi,660,<1%,0.05,0.02,2→1→3→4,3
learned_multi,690,<1%,0.05,0.05,3→2→1→4,1
learned_multi,712,5–<10%,0.0,0.02,3→2→4→1,1
learned_multi,712,5–<10%,0.0,0.05,3→2→4→1,1
learned_multi,712,5–<10%,0.01,0.02,3→2→4→1,20
learned_multi,712,5–<10%,0.01,0.05,3→2→4→1,20
learned_multi,712,5–<10%,0.05,0.05,3→2→4→1,20
learned_multi,712,5–<10%,0.05,0.02,3→2→4→1,4
learned_multi,722,<1%,0.01,0.05,1→4→2→3,4
learned_multi,722,<1%,0.01,0.05,3→1→4→2,3
learned_multi,722,<1%,0.05,0.05,3→1→4→2,6
learned_multi,722,<1%,0.05,0.02,3→1→4→2,1
learned_multi,731,<1%,0.01,0.05,2→1→4→3,1
learned_multi,731,<1%,0.05,0.05,2→1→4→3,2
learned_multi,731,<1%,0.05,0.02,2→1→4→3,1
learned_multi,749,<1%,0.01,0.05,2→4→1→3,1
learned_multi,776,5–<10%,0.0,0.02,2→4→3→1,1
learned_multi,776,5–<10%,0.0,0.05,2→4→3→1,1
learned_multi,776,5–<10%,0.01,0.02,2→4→3→1,20
learned_multi,776,5–<10%,0.01,0.05,2→4→3→1,20
learned_multi,776,5–<10%,0.05,0.05,2→4→3→1,15
learned_multi,776,5–<10%,0.05,0.02,2→4→3→1,5
learned_multi,777,1–<5%,0.0,0.02,2→1→3→4,1
learned_multi,777,1–<5%,0.0,0.05,2→1→3→4,1
learned_multi,777,1–<5%,0.01,0.02,2→1→3→4,20
learned_multi,777,1–<5%,0.01,0.05,2→1→3→4,20
learned_multi,777,1–<5%,0.05,0.02,2→1→3→4,6
learned_multi,777,1–<5%,0.05,0.05,2→1→3→4,11
learned_multi,784,5–<10%,0.0,0.02,4→3→1→2,1
learned_multi,784,5–<10%,0.0,0.05,4→3→1→2,1
learned_multi,784,5–<10%,0.01,0.02,4→3→1→2,20
learned_multi,784,5–<10%,0.01,0.05,4→3→1→2,20
learned_multi,784,5–<10%,0.05,0.02,4→3→1→2,14
learned_multi,784,5–<10%,0.05,0.05,4→3→1→2,16
learned_multi,789,5–<10%,0.05,0.05,3→1→2→4,2
learned_multi,789,5–<10%,0.05,0.02,3→1→2→4,1
learned_multi,792,5–<10%,0.0,0.02,1→4→2→3,1
learned_multi,792,5–<10%,0.0,0.05,1→4→2→3,1
learned_multi,792,5–<10%,0.01,0.02,1→4→2→3,20
learned_multi,792,5–<10%,0.01,0.05,1→4→2→3,20
learned_multi,792,5–<10%,0.05,0.05,1→4→2→3,9
learned_multi,792,5–<10%,0.05,0.02,1→4→2→3,3
learned_multi,797,1–<5%,0.0,0.05,2→1→3→4,1
learned_multi,797,1–<5%,0.01,0.05,2→1→3→4,14
learned_multi,797,1–<5%,0.01,0.02,2→1→3→4,1
learned_multi,797,1–<5%,0.05,0.05,2→1→3→4,7
learned_multi,797,1–<5%,0.05,0.02,1→3→4→2,2
learned_multi,797,1–<5%,0.05,0.05,1→3→4→2,3
learned_multi,804,≥10%,0.0,0.02,2→3→1→4,1
learned_multi,804,≥10%,0.0,0.05,2→3→1→4,1
learned_multi,804,≥10%,0.01,0.02,2→3→1→4,20
learned_multi,804,≥10%,0.01,0.05,2→3→1→4,20
learned_multi,804,≥10%,0.05,0.05,2→3→1→4,20
learned_multi,804,≥10%,0.05,0.02,2→3→1→4,10
learned_multi,820,<1%,0.01,0.02,3→1→4→2,4
learned_multi,820,<1%,0.01,0.05,3→1→4→2,6
learned_multi,822,5–<10%,0.05,0.05,2→1→4→3,3
learned_multi,841,≥10%,0.0,0.02,2→4→3→1,1
learned_multi,841,≥10%,0.0,0.05,2→4→3→1,1
learned_multi,841,≥10%,0.01,0.02,2→4→3→1,20
learned_multi,841,≥10%,0.01,0.05,2→4→3→1,20
learned_multi,841,≥10%,0.05,0.02,2→4→3→1,8
learned_multi,841,≥10%,0.05,0.05,2→4→3→1,20
learned_multi,851,1–<5%,0.0,0.05,4→2→1→3,1
learned_multi,851,1–<5%,0.01,0.02,4→2→1→3,12
learned_multi,851,1–<5%,0.01,0.05,4→2→1→3,20
learned_multi,851,1–<5%,0.05,0.02,4→2→1→3,8
learned_multi,851,1–<5%,0.05,0.05,4→2→1→3,15
learned_multi,870,≥10%,0.0,0.02,4→2→3→1,1
learned_multi,870,≥10%,0.0,0.05,4→2→3→1,1
learned_multi,870,≥10%,0.01,0.02,4→2→3→1,19
learned_multi,870,≥10%,0.01,0.05,4→2→3→1,19
learned_multi,870,≥10%,0.05,0.05,4→2→3→1,17
learned_multi,870,≥10%,0.05,0.02,4→2→3→1,10
learned_multi,877,5–<10%,0.0,0.02,1→2→3→4,1
learned_multi,877,5–<10%,0.0,0.05,1→2→3→4,1
learned_multi,877,5–<10%,0.01,0.05,1→2→3→4,20
learned_multi,877,5–<10%,0.01,0.02,1→2→3→4,12
learned_multi,877,5–<10%,0.05,0.05,1→2→3→4,8
learned_multi,877,5–<10%,0.05,0.02,1→2→3→4,5
learned_multi,884,≥10%,0.0,0.02,4→3→1→2,1
learned_multi,884,≥10%,0.0,0.05,4→3→1→2,1
learned_multi,884,≥10%,0.01,0.02,4→3→1→2,18
learned_multi,884,≥10%,0.01,0.05,4→3→1→2,20
learned_multi,884,≥10%,0.05,0.05,4→3→1→2,16
learned_multi,884,≥10%,0.05,0.02,4→3→1→2,9
learned_multi,887,<1%,0.05,0.05,2→3→4→1,1
learned_multi,888,5–<10%,0.0,0.02,3→1→4→2,1
learned_multi,888,5–<10%,0.0,0.05,3→1→4→2,1
learned_multi,888,5–<10%,0.01,0.02,3→1→4→2,12
learned_multi,888,5–<10%,0.01,0.05,3→1→4→2,20
learned_multi,888,5–<10%,0.05,0.05,3→1→4→2,15
learned_multi,888,5–<10%,0.05,0.02,3→1→4→2,3
learned_multi,896,≥10%,0.0,0.02,3→4→1→2,1
learned_multi,896,≥10%,0.0,0.05,3→4→1→2,1
learned_multi,896,≥10%,0.01,0.02,3→4→1→2,20
learned_multi,896,≥10%,0.01,0.05,3→4→1→2,20
learned_multi,896,≥10%,0.05,0.05,3→4→1→2,17
learned_multi,896,≥10%,0.05,0.02,3→4→1→2,7
learned_multi,899,≥10%,0.0,0.02,4→1→3→2,1
learned_multi,899,≥10%,0.0,0.05,4→1→3→2,1
learned_multi,899,≥10%,0.01,0.02,4→1→3→2,20
learned_multi,899,≥10%,0.01,0.05,4→1→3→2,20
learned_multi,899,≥10%,0.05,0.05,4→1→3→2,14
learned_multi,899,≥10%,0.05,0.02,4→1→3→2,6
learned_multi,904,5–<10%,0.0,0.02,2→4→1→3,1
learned_multi,904,5–<10%,0.0,0.05,2→4→1→3,1
learned_multi,904,5–<10%,0.01,0.02,2→4→1→3,19
learned_multi,904,5–<10%,0.01,0.05,2→4→1→3,20
learned_multi,904,5–<10%,0.05,0.05,2→4→1→3,13
learned_multi,904,5–<10%,0.05,0.02,2→4→1→3,5
learned_multi,930,1–<5%,0.0,0.02,4→2→3→1,1
learned_multi,930,1–<5%,0.0,0.05,4→2→3→1,1
learned_multi,930,1–<5%,0.01,0.02,4→2→3→1,7
learned_multi,930,1–<5%,0.01,0.05,4→2→3→1,8
learned_multi,930,1–<5%,0.05,0.05,4→2→3→1,4
learned_multi,931,1–<5%,0.0,0.02,1→4→2→3,1
learned_multi,931,1–<5%,0.0,0.05,1→4→2→3,1
learned_multi,931,1–<5%,0.01,0.02,1→4→2→3,16
learned_multi,931,1–<5%,0.01,0.05,1→4→2→3,18
learned_multi,931,1–<5%,0.05,0.05,1→4→2→3,9
learned_multi,931,1–<5%,0.05,0.05,2→3→4→1,1
learned_multi,931,1–<5%,0.05,0.02,1→4→2→3,4
learned_multi,938,≥10%,0.0,0.02,1→3→2→4,1
learned_multi,938,≥10%,0.0,0.05,1→3→2→4,1
learned_multi,938,≥10%,0.01,0.02,1→3→2→4,20
learned_multi,938,≥10%,0.01,0.05,1→3→2→4,20
learned_multi,938,≥10%,0.05,0.02,1→3→2→4,7
learned_multi,938,≥10%,0.05,0.05,1→3→2→4,17
learned_multi,939,1–<5%,0.0,0.02,3→2→1→4,1
learned_multi,939,1–<5%,0.0,0.05,3→2→1→4,1
learned_multi,939,1–<5%,0.01,0.02,3→2→1→4,18
learned_multi,939,1–<5%,0.01,0.05,3→2→1→4,20
learned_multi,939,1–<5%,0.05,0.02,3→2→1→4,5
learned_multi,939,1–<5%,0.05,0.05,3→2→1→4,15
learned_multi,944,1–<5%,0.01,0.05,4→2→1→3,2
learned_multi,946,5–<10%,0.0,0.02,2→1→3→4,1
learned_multi,946,5–<10%,0.0,0.05,2→1→3→4,1
learned_multi,946,5–<10%,0.01,0.02,2→1→3→4,20
learned_multi,946,5–<10%,0.01,0.05,2→1→3→4,20
learned_multi,946,5–<10%,0.05,0.02,2→1→3→4,9
learned_multi,946,5–<10%,0.05,0.05,2→1→3→4,18
learned_multi,950,1–<5%,0.05,0.05,4→2→1→3,2
learned_multi,967,≥10%,0.0,0.02,3→4→1→2,1
learned_multi,967,≥10%,0.0,0.05,3→4→1→2,1
learned_multi,967,≥10%,0.01,0.02,3→4→1→2,20
learned_multi,967,≥10%,0.01,0.05,3→4→1→2,20
learned_multi,967,≥10%,0.05,0.02,3→4→1→2,15
learned_multi,967,≥10%,0.05,0.05,3→4→1→2,20
learned_multi,982,1–<5%,0.01,0.05,3→1→4→2,1
learned_multi,982,1–<5%,0.05,0.05,3→1→4→2,1
analytic_single,3,≥10%,0.0,0.02,2→1→4→3,1
analytic_single,3,≥10%,0.0,0.05,2→1→4→3,1
analytic_single,3,≥10%,0.01,0.02,2→1→4→3,20
analytic_single,3,≥10%,0.01,0.05,2→1→4→3,20
analytic_single,3,≥10%,0.05,0.02,2→1→4→3,14
analytic_single,3,≥10%,0.05,0.05,2→1→4→3,20
analytic_single,8,5–<10%,0.0,0.02,4→2→3→1,1
analytic_single,8,5–<10%,0.0,0.05,4→2→3→1,1
analytic_single,8,5–<10%,0.01,0.02,4→2→3→1,20
analytic_single,8,5–<10%,0.01,0.05,4→2→3→1,20
analytic_single,8,5–<10%,0.05,0.05,4→2→3→1,20
analytic_single,8,5–<10%,0.05,0.02,4→2→3→1,13
analytic_single,15,≥10%,0.0,0.02,1→3→4→2,1
analytic_single,15,≥10%,0.0,0.05,1→3→4→2,1
analytic_single,15,≥10%,0.01,0.02,1→3→4→2,20
analytic_single,15,≥10%,0.01,0.05,1→3→4→2,20
analytic_single,15,≥10%,0.05,0.02,1→3→4→2,6
analytic_single,15,≥10%,0.05,0.05,1→3→4→2,17
analytic_single,28,≥10%,0.0,0.02,4→3→2→1,1
analytic_single,28,≥10%,0.0,0.05,4→3→2→1,1
analytic_single,28,≥10%,0.01,0.02,4→3→2→1,20
analytic_single,28,≥10%,0.01,0.05,4→3→2→1,20
analytic_single,28,≥10%,0.05,0.02,4→3→2→1,13
analytic_single,28,≥10%,0.05,0.05,4→3→2→1,18
