method,initial_sigma,tolerance,gap_bin,n_layouts,n_rollouts,success_percent,mean_visited,mean_worst_distance,nonfinite_percent
analytic_single,0.0,0.05,1–<5%,25,25,100.0,4.0,0.0004058777688958562,0.0
analytic_single,0.0,0.05,5–<10%,25,25,100.0,4.0,0.0003490138378364644,0.0
analytic_single,0.0,0.05,≥10%,25,25,100.0,4.0,0.0002678447688337852,0.0
analytic_single,0.01,0.02,ALL_selected,100,2000,99.85,3.9985000000000004,0.004639370116892341,0.0
analytic_single,0.01,0.02,<1%,25,500,99.8,3.998,0.00441991157239927,0.0
analytic_single,0.01,0.02,1–<5%,25,500,100.0,4.0,0.004647196744934116,0.0
analytic_single,0.01,0.02,5–<10%,25,500,99.8,3.998,0.004598732666910925,0.0
analytic_single,0.01,0.02,≥10%,25,500,99.8,3.998,0.004891639483325051,0.0
analytic_single,0.01,0.05,ALL_selected,100,2000,100.0,4.0,0.004639370116892341,0.0
analytic_single,0.01,0.05,<1%,25,500,100.0,4.0,0.00441991157239927,0.0
analytic_single,0.01,0.05,1–<5%,25,500,100.0,4.0,0.004647196744934116,0.0
analytic_single,0.01,0.05,5–<10%,25,500,100.0,4.0,0.004598732666910925,0.0
analytic_single,0.01,0.05,≥10%,25,500,100.0,4.0,0.004891639483325051,0.0
analytic_single,0.05,0.02,ALL_selected,100,2000,50.59999999999999,3.3834999999999997,0.02301822762354831,0.0
analytic_single,0.05,0.02,<1%,25,500,53.6,3.4120000000000004,0.02196181847812265,0.0
analytic_single,0.05,0.02,1–<5%,25,500,49.800000000000004,3.3900000000000006,0.02295448338667312,0.0
analytic_single,0.05,0.02,5–<10%,25,500,50.8,3.398,0.022904181303344484,0.0
analytic_single,0.05,0.02,≥10%,25,500,48.199999999999996,3.3339999999999996,0.024252427326052997,0.0
analytic_single,0.05,0.05,ALL_selected,100,2000,93.55000000000001,3.9344999999999994,0.02301822762354831,0.0
analytic_single,0.05,0.05,<1%,25,500,94.6,3.946,0.02196181847812265,0.0
analytic_single,0.05,0.05,1–<5%,25,500,94.19999999999999,3.9420000000000006,0.02295448338667312,0.0
analytic_single,0.05,0.05,5–<10%,25,500,92.39999999999999,3.9240000000000004,0.022904181303344484,0.0
analytic_single,0.05,0.05,≥10%,25,500,93.0,3.926,0.024252427326052997,0.0
analytic_multi,0.0,0.02,ALL_selected,100,100,51.0,3.17,0.07692840183587607,0.0
analytic_multi,0.0,0.02,<1%,25,25,0.0,2.24,0.1424974458499792,0.0
analytic_multi,0.0,0.02,1–<5%,25,25,4.0,2.44,0.16459930288685484,0.0
analytic_multi,0.0,0.02,5–<10%,25,25,100.0,4.0,0.0003490138378364644,0.0
analytic_multi,0.0,0.02,≥10%,25,25,100.0,4.0,0.0002678447688337852,0.0
analytic_multi,0.0,0.05,ALL_selected,100,100,54.0,3.39,0.07692840183587607,0.0
analytic_multi,0.0,0.05,<1%,25,25,8.0,2.76,0.1424974458499792,0.0
analytic_multi,0.0,0.05,1–<5%,25,25,8.0,2.8,0.16459930288685484,0.0
analytic_multi,0.0,0.05,5–<10%,25,25,100.0,4.0,0.0003490138378364644,0.0
analytic_multi,0.0,0.05,≥10%,25,25,100.0,4.0,0.0002678447688337852,0.0
analytic_multi,0.01,0.02,ALL_selected,100,2000,52.449999999999996,3.3275,0.0833082220448682,0.0
analytic_multi,0.01,0.02,<1%,25,500,4.2,2.5599999999999996,0.1557484855803523,0.0
analytic_multi,0.01,0.02,1–<5%,25,500,6.0,2.7539999999999996,0.16799403044888453,0.0
analytic_multi,0.01,0.02,5–<10%,25,500,99.8,3.998,0.004598732666910925,0.0
analytic_multi,0.01,0.02,≥10%,25,500,99.8,3.998,0.004891639483325051,0.0
analytic_multi,0.01,0.05,ALL_selected,100,2000,58.75,3.4939999999999998,0.0833082220448682,0.0
analytic_multi,0.01,0.05,<1%,25,500,14.799999999999999,2.944,0.1557484855803523,0.0
analytic_multi,0.01,0.05,1–<5%,25,500,20.2,3.032,0.16799403044888453,0.0
analytic_multi,0.01,0.05,5–<10%,25,500,100.0,4.0,0.004598732666910925,0.0
analytic_multi,0.01,0.05,≥10%,25,500,100.0,4.0,0.004891639483325051,0.0
analytic_multi,0.05,0.02,ALL_selected,100,2000,28.65,2.8560000000000003,0.10609986764541109,0.0
analytic_multi,0.05,0.02,<1%,25,500,7.600000000000001,2.244,0.1981618826986916,0.0
analytic_multi,0.05,0.02,1–<5%,25,500,8.0,2.448,0.1790809792535552,0.0
analytic_multi,0.05,0.02,5–<10%,25,500,50.8,3.398,0.022904181303344484,0.0
analytic_multi,0.05,0.02,≥10%,25,500,48.199999999999996,3.3339999999999996,0.024252427326052997,0.0
analytic_multi,0.05,0.05,ALL_selected,100,2000,54.2,3.3875,0.10609986764541109,0.0
analytic_multi,0.05,0.05,<1%,25,500,14.200000000000001,2.7720000000000002,0.1981618826986916,0.0
analytic_multi,0.05,0.05,1–<5%,25,500,17.200000000000003,2.928,0.1790809792535552,0.0
analytic_multi,0.05,0.05,5–<10%,25,500,92.39999999999999,3.9240000000000004,0.022904181303344484,0.0
analytic_multi,0.05,0.05,≥10%,25,500,93.0,3.926,0.024252427326052997,0.0
