trial_id,layout_index,initial_sigma,repeat_index,offset_x,offset_y,in_sample,gap_bin,gap_percent,n_candidates,method,tolerance,finite,visited_count,success,worst_distance,path_length,first_visit_order,order_ambiguous,order_in_nominal_candidate_set,target_1_distance,target_2_distance,target_3_distance,target_4_distance
0,3,0.0,0,0.0,0.0,True,≥10%,14.195852215374183,1,learned_multi,0.02,True,4,True,0.01161956421748755,1.3548645218412723,2→1→4→3,False,True,0.0006068939670682297,0.00012384706498552275,0.00759557173302069,0.01161956421748755
0,3,0.0,0,0.0,0.0,True,≥10%,14.195852215374183,1,learned_multi,0.05,True,4,True,0.01161956421748755,1.3548645218412723,2→1→4→3,False,True,0.0006068939670682297,0.00012384706498552275,0.00759557173302069,0.01161956421748755
1,3,0.01,0,-0.008012202434156424,-0.0033718226512334444,True,≥10%,14.195852215374183,1,learned_multi,0.02,True,4,True,0.01249134208968265,1.3561597921726514,2→1→4→3,False,True,0.001144524848431252,0.0028459490681168134,0.008175940364553682,0.01249134208968265
1,3,0.01,0,-0.008012202434156424,-0.0033718226512334444,True,≥10%,14.195852215374183,1,learned_multi,0.05,True,4,True,0.01249134208968265,1.3561597921726514,2→1→4→3,False,True,0.001144524848431252,0.0028459490681168134,0.008175940364553682,0.01249134208968265
2,3,0.01,1,-0.006886102622983228,0.013050634683610124,True,≥10%,14.195852215374183,1,learned_multi,0.02,True,4,True,0.0164187876162891,1.347054189779578,2→1→4→3,False,True,0.004892489086272772,0.0007203166631252933,0.00938231626140124,0.0164187876162891
2,3,0.01,1,-0.006886102622983228,0.013050634683610124,True,≥10%,14.195852215374183,1,learned_multi,0.05,True,4,True,0.0164187876162891,1.347054189779578,2→1→4→3,False,True,0.004892489086272772,0.0007203166631252933,0.00938231626140124,0.0164187876162891
3,3,0.01,2,0.015068933697071046,0.004557405736105235,True,≥10%,14.195852215374183,1,learned_multi,0.02,True,4,True,0.009579007942302138,1.3539433440065154,2→1→4→3,False,True,0.0008485333312078732,0.005161420605511464,0.006514830463134539,0.009579007942302138
3,3,0.01,2,0.015068933697071046,0.004557405736105235,True,≥10%,14.195852215374183,1,learned_multi,0.05,True,4,True,0.009579007942302138,1.3539433440065154,2→1→4→3,False,True,0.0008485333312078732,0.005161420605511464,0.006514830463134539,0.009579007942302138
4,3,0.01,3,0.017589722165507148,0.00416232186825758,True,≥10%,14.195852215374183,1,learned_multi,0.02,True,4,True,0.008955415815016349,1.3544802666497322,2→1→4→3,False,True,0.0013784070415743578,0.005745654676335321,0.006210330996788065,0.008955415815016349
4,3,0.01,3,0.017589722165507148,0.00416232186825758,True,≥10%,14.195852215374183,1,learned_multi,0.05,True,4,True,0.008955415815016349,1.3544802666497322,2→1→4→3,False,True,0.0013784070415743578,0.005745654676335321,0.006210330996788065,0.008955415815016349
5,3,0.01,4,-0.00047960985988369304,0.00657574110819514,True,≥10%,14.195852215374183,1,learned_multi,0.02,True,4,True,0.013373519079497371,1.3511626302696913,2→1→4→3,False,True,0.0022764192963976872,0.0012938775316960849,0.008230323086481455,0.013373519079497371
5,3,0.01,4,-0.00047960985988369304,0.00657574110819514,True,≥10%,14.195852215374183,1,learned_multi,0.05,True,4,True,0.013373519079497371,1.3511626302696913,2→1→4→3,False,True,0.0022764192963976872,0.0012938775316960849,0.008230323086481455,0.013373519079497371
