trial_id,layout_index,initial_sigma,repeat_index,offset_x,offset_y,in_sample,gap_bin,gap_percent,n_candidates,method,tolerance,finite,visited_count,success,worst_distance,path_length,first_visit_order,order_ambiguous,order_in_nominal_candidate_set,target_1_distance,target_2_distance,target_3_distance,target_4_distance
0,3,0.0,0,0.0,0.0,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.0003021692127202567,1.3457977730344854,2→1→4→3,False,True,8.223170358327376e-05,0.0003021692127202567,8.018760990529465e-05,0.00016409829368465784
0,3,0.0,0,0.0,0.0,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.0003021692127202567,1.3457977730344854,2→1→4→3,False,True,8.223170358327376e-05,0.0003021692127202567,8.018760990529465e-05,0.00016409829368465784
1,3,0.01,0,-0.008012202434156424,-0.0033718226512334444,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.0006544816159498166,1.3466361741657673,2→1→4→3,False,True,0.0003246832177557649,0.0001602740989446853,0.0006544816159498166,0.0002127610663450596
1,3,0.01,0,-0.008012202434156424,-0.0033718226512334444,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.0006544816159498166,1.3466361741657673,2→1→4→3,False,True,0.0003246832177557649,0.0001602740989446853,0.0006544816159498166,0.0002127610663450596
2,3,0.01,1,-0.006886102622983228,0.013050634683610124,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.002050652974827349,1.3360408684684972,2→1→4→3,False,True,0.002050652974827349,0.0006658348237747217,0.0012915716581461771,0.0019047791513414833
2,3,0.01,1,-0.006886102622983228,0.013050634683610124,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.002050652974827349,1.3360408684684972,2→1→4→3,False,True,0.002050652974827349,0.0006658348237747217,0.0012915716581461771,0.0019047791513414833
3,3,0.01,2,0.015068933697071046,0.004557405736105235,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.005427845018591568,1.345539726687918,2→1→4→3,False,True,0.0006107375470361054,0.005427845018591568,0.00017700551701519817,0.00029646067150352934
3,3,0.01,2,0.015068933697071046,0.004557405736105235,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.005427845018591568,1.345539726687918,2→1→4→3,False,True,0.0006107375470361054,0.005427845018591568,0.00017700551701519817,0.00029646067150352934
4,3,0.01,3,0.017589722165507148,0.00416232186825758,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.00619718602684827,1.3462645233351105,2→1→4→3,False,True,0.000850974529651304,0.00619718602684827,0.00030402996988048564,0.00020842828659131034
4,3,0.01,3,0.017589722165507148,0.00416232186825758,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.00619718602684827,1.3462645233351105,2→1→4→3,False,True,0.000850974529651304,0.00619718602684827,0.00030402996988048564,0.00020842828659131034
5,3,0.01,4,-0.00047960985988369304,0.00657574110819514,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.0011309177067343917,1.3414061859572288,2→1→4→3,False,True,0.0008105399288003057,0.0011309177067343917,0.0005744606813610665,0.000892735223218974
5,3,0.01,4,-0.00047960985988369304,0.00657574110819514,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.0011309177067343917,1.3414061859572288,2→1→4→3,False,True,0.0008105399288003057,0.0011309177067343917,0.0005744606813610665,0.000892735223218974
6,3,0.01,5,-0.015055134327006102,-0.00764284084793394,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.0013176079496944129,1.3482904723123557,2→1→4→3,False,True,0.0008013646056362217,8.803515981241256e-05,0.0013176079496944129,0.00016253863750159426
6,3,0.01,5,-0.015055134327006102,-0.00764284084793394,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.0013176079496944129,1.3482904723123557,2→1→4→3,False,True,0.0008013646056362217,8.803515981241256e-05,0.0013176079496944129,0.00016253863750159426
7,3,0.01,6,-0.005120747084111222,0.0073168727781957885,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.0012025916237831215,1.3401038208716574,2→1→4→3,False,True,0.0011564236047450621,3.5331918672923206e-05,0.0008083532503367547,0.0012025916237831215
7,3,0.01,6,-0.005120747084111222,0.0073168727781957885,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.0012025916237831215,1.3401038208716574,2→1→4→3,False,True,0.0011564236047450621,3.5331918672923206e-05,0.0008083532503367547,0.0012025916237831215
8,3,0.01,7,-0.001967928747486524,0.019652352097213707,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.003260281179969732,1.3326162583538386,2→1→4→3,False,True,0.0026295696957088902,0.003260281179969732,0.0015792911966546767,0.00238436078680324
8,3,0.01,7,-0.001967928747486524,0.019652352097213707,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.003260281179969732,1.3326162583538386,2→1→4→3,False,True,0.0026295696957088902,0.003260281179969732,0.0015792911966546767,0.00238436078680324
9,3,0.01,8,0.01186821236204282,0.0033815189156039226,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.004317040608045511,1.3457144768725477,2→1→4→3,False,True,0.0005252512207849329,0.004317040608045511,0.00013732814321859075,0.00021133297710693164
9,3,0.01,8,0.01186821236204282,0.0033815189156039226,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.004317040608045511,1.3457144768725477,2→1→4→3,False,True,0.0005252512207849329,0.004317040608045511,0.00013732814321859075,0.00021133297710693164
10,3,0.01,9,0.0011505149030710533,-0.009625017651114393,True,≥10%,14.195852215374183,1,analytic_single,0.02,True,4,True,0.003094840081921532,1.3523268441367722,2→1→4→3,False,True,0.0015197422934171054,0.003094840081921532,0.000695494157405489,0.0009234839885360524
10,3,0.01,9,0.0011505149030710533,-0.009625017651114393,True,≥10%,14.195852215374183,1,analytic_single,0.05,True,4,True,0.003094840081921532,1.3523268441367722,2→1→4→3,False,True,0.0015197422934171054,0.003094840081921532,0.000695494157405489,0.0009234839885360524
