reference,candidate,initial_sigma,tolerance,gap_bin,n_layouts,n_rollouts,reference_success_percent,candidate_success_percent,delta_success_pp,rescued_rollouts,regressed_rollouts
analytic_single,learned_single,0.0,0.02,5–<10%,25,25,100.0,80.0,-19.999999999999996,0,5
analytic_single,learned_single,0.0,0.02,≥10%,25,25,100.0,88.0,-12.0,0,3
analytic_single,learned_single,0.0,0.05,ALL_selected,100,100,100.0,80.0,-19.999999999999996,0,20
analytic_single,learned_single,0.0,0.05,<1%,25,25,100.0,48.0,-52.0,0,13
analytic_single,learned_single,0.0,0.05,1–<5%,25,25,100.0,76.0,-24.0,0,6
analytic_single,learned_single,0.0,0.05,5–<10%,25,25,100.0,96.0,-4.0000000000000036,0,1
analytic_single,learned_single,0.0,0.05,≥10%,25,25,100.0,100.0,0.0,0,0
analytic_single,learned_single,0.01,0.02,ALL_selected,100,2000,99.85000000000001,56.99999999999999,-42.85000000000001,0,857
analytic_single,learned_single,0.01,0.02,<1%,25,500,99.8,14.000000000000002,-85.8,0,429
analytic_single,learned_single,0.01,0.02,1–<5%,25,500,100.0,47.199999999999996,-52.800000000000004,0,264
analytic_single,learned_single,0.01,0.02,5–<10%,25,500,99.8,80.0,-19.799999999999997,0,99
analytic_single,learned_single,0.01,0.02,≥10%,25,500,99.8,86.8,-13.0,0,65
analytic_single,learned_single,0.01,0.05,ALL_selected,100,2000,100.0,80.9,-19.099999999999994,0,382
analytic_single,learned_single,0.01,0.05,<1%,25,500,100.0,50.8,-49.2,0,246
analytic_single,learned_single,0.01,0.05,1–<5%,25,500,100.0,75.4,-24.6,0,123
analytic_single,learned_single,0.01,0.05,5–<10%,25,500,100.0,97.39999999999999,-2.6000000000000023,0,13
analytic_single,learned_single,0.01,0.05,≥10%,25,500,100.0,100.0,0.0,0,0
analytic_single,learned_single,0.05,0.02,ALL_selected,100,2000,50.6,25.15,-25.45,37,546
analytic_single,learned_single,0.05,0.02,<1%,25,500,53.6,8.4,-45.2,10,236
analytic_single,learned_single,0.05,0.02,1–<5%,25,500,49.8,20.0,-29.799999999999997,6,155
analytic_single,learned_single,0.05,0.02,5–<10%,25,500,50.8,36.0,-14.800000000000002,5,79
analytic_single,learned_single,0.05,0.02,≥10%,25,500,48.199999999999996,36.199999999999996,-12.0,16,76
analytic_single,learned_single,0.05,0.05,ALL_selected,100,2000,93.55,72.3,-21.250000000000004,10,435
analytic_single,learned_single,0.05,0.05,<1%,25,500,94.6,42.199999999999996,-52.400000000000006,2,264
analytic_single,learned_single,0.05,0.05,1–<5%,25,500,94.19999999999999,67.4,-26.79999999999999,2,136
analytic_single,learned_single,0.05,0.05,5–<10%,25,500,92.4,88.6,-3.8000000000000034,3,22
analytic_single,learned_single,0.05,0.05,≥10%,25,500,93.0,91.0,-2.0000000000000018,3,13
