radius,group,n_layouts,mean_count,median_count,q25_count,q75_count,zero_count_fraction
0.02,Success,833,0.0,0.0,0.0,0.0,1.0
0.02,Failure,167,0.0,0.0,0.0,0.0,1.0
0.05,Success,833,0.010804321728691477,0.0,0.0,0.0,0.9891956782713085
0.05,Failure,167,0.011976047904191617,0.0,0.0,0.0,0.9880239520958084
0.1,Success,833,1.8235294117647058,2.0,1.0,3.0,0.21248499399759904
0.1,Failure,167,1.6766467065868262,1.0,0.0,3.0,0.281437125748503
0.15,Success,833,31.891956782713084,30.0,20.0,41.0,0.0
0.15,Failure,167,28.91616766467066,27.0,16.0,39.0,0.0
0.2,Success,833,210.72388955582232,198.0,135.0,270.0,0.0
0.2,Failure,167,196.19161676646706,182.0,112.5,267.5,0.0
